acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.0726,https://api.spotify.com/v1/audio-analysis/4ih3dyFZoeTdaeJW9mPbOI,0.703,257467,0.997,4ih3dyFZoeTdaeJW9mPbOI,0.0235,9,0.123,-7.666,0,0.0399,0,132.872,4,https://api.spotify.com/v1/tracks/4ih3dyFZoeTdaeJW9mPbOI,audio_features,spotify:track:4ih3dyFZoeTdaeJW9mPbOI,0.391
0.216,https://api.spotify.com/v1/audio-analysis/6e40mgJiCid5HRAGrbpGA6,0.689,213600,0.702,6e40mgJiCid5HRAGrbpGA6,0.0,6,0.159,-5.642,0,0.0261,0,99.031,4,https://api.spotify.com/v1/tracks/6e40mgJiCid5HRAGrbpGA6,audio_features,spotify:track:6e40mgJiCid5HRAGrbpGA6,0.484
0.0294,https://api.spotify.com/v1/audio-analysis/2vfvGlqCB7oertO5VLE0sz,0.918,230693,0.734,2vfvGlqCB7oertO5VLE0sz,7.9e-06,11,0.191,-2.832,0,0.269,0,97.044,4,https://api.spotify.com/v1/tracks/2vfvGlqCB7oertO5VLE0sz,audio_features,spotify:track:2vfvGlqCB7oertO5VLE0sz,0.608
0.207,https://api.spotify.com/v1/audio-analysis/2tUBqZG2AbRi7Q0BIrVrEj,0.709,291293,0.824,2tUBqZG2AbRi7Q0BIrVrEj,0.000307,1,0.0888,-8.824,1,0.0453,0,118.814,4,https://api.spotify.com/v1/tracks/2tUBqZG2AbRi7Q0BIrVrEj,audio_features,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,0.867
0.0433,https://api.spotify.com/v1/audio-analysis/39lSeqnyjZJejRuaREfyLL,0.691,220627,0.812,39lSeqnyjZJejRuaREfyLL,1.16e-06,0,0.299,-7.772,1,0.0558,0,127.568,4,https://api.spotify.com/v1/tracks/39lSeqnyjZJejRuaREfyLL,audio_features,spotify:track:39lSeqnyjZJejRuaREfyLL,0.685
0.00251,https://api.spotify.com/v1/audio-analysis/71SvEDmsOwIWw1IozsZoMA,0.529,201693,0.932,71SvEDmsOwIWw1IozsZoMA,0.00109,7,0.136,-7.501,1,0.0488,0,138.158,4,https://api.spotify.com/v1/tracks/71SvEDmsOwIWw1IozsZoMA,audio_features,spotify:track:71SvEDmsOwIWw1IozsZoMA,0.571
0.632,https://api.spotify.com/v1/audio-analysis/7tLtIZclwLWk54PFAyDv5T,0.464,277600,0.386,7tLtIZclwLWk54PFAyDv5T,0.0,2,0.0682,-12.174,1,0.0292,0,61.868,4,https://api.spotify.com/v1/tracks/7tLtIZclwLWk54PFAyDv5T,audio_features,spotify:track:7tLtIZclwLWk54PFAyDv5T,0.251
0.42,https://api.spotify.com/v1/audio-analysis/0tKjVEJlX3IZ5L1rEJc5hh,0.495,257440,0.609,0tKjVEJlX3IZ5L1rEJc5hh,0.0,7,0.187,-9.902,1,0.0339,0,135.671,4,https://api.spotify.com/v1/tracks/0tKjVEJlX3IZ5L1rEJc5hh,audio_features,spotify:track:0tKjVEJlX3IZ5L1rEJc5hh,0.33
0.0325,https://api.spotify.com/v1/audio-analysis/4W4wYHtsrgDiivRASVOINL,0.715,321573,0.817,4W4wYHtsrgDiivRASVOINL,1.61e-06,5,0.851,-6.227,0,0.0532,0,133.858,4,https://api.spotify.com/v1/tracks/4W4wYHtsrgDiivRASVOINL,audio_features,spotify:track:4W4wYHtsrgDiivRASVOINL,0.871
0.0594,https://api.spotify.com/v1/audio-analysis/3iM9wFGlyR28IBZrXYZK9j,0.554,200027,0.708,3iM9wFGlyR28IBZrXYZK9j,2.72e-06,3,0.143,-5.318,0,0.0271,0,131.157,4,https://api.spotify.com/v1/tracks/3iM9wFGlyR28IBZrXYZK9j,audio_features,spotify:track:3iM9wFGlyR28IBZrXYZK9j,0.512
0.0127,https://api.spotify.com/v1/audio-analysis/1hlveB9M6ijHZRbzZ2teyh,0.502,219667,0.924,1hlveB9M6ijHZRbzZ2teyh,0.0,4,0.162,-6.299,1,0.0503,0,149.186,4,https://api.spotify.com/v1/tracks/1hlveB9M6ijHZRbzZ2teyh,audio_features,spotify:track:1hlveB9M6ijHZRbzZ2teyh,0.922
0.197,https://api.spotify.com/v1/audio-analysis/3xKsPtA5XG91Zlh0SyycmM,0.41,205933,0.874,3xKsPtA5XG91Zlh0SyycmM,0.0,0,0.0843,-4.286,1,0.0907,0,107.08,4,https://api.spotify.com/v1/tracks/3xKsPtA5XG91Zlh0SyycmM,audio_features,spotify:track:3xKsPtA5XG91Zlh0SyycmM,0.824
0.234,https://api.spotify.com/v1/audio-analysis/4o6BgsqLIBViaGVbx5rbRk,0.751,190627,0.501,4o6BgsqLIBViaGVbx5rbRk,0.112,5,0.0467,-12.151,1,0.0552,0,167.058,4,https://api.spotify.com/v1/tracks/4o6BgsqLIBViaGVbx5rbRk,audio_features,spotify:track:4o6BgsqLIBViaGVbx5rbRk,0.902
0.0373,https://api.spotify.com/v1/audio-analysis/61oEC3ZjyitXj5KUzqCsYr,0.681,354133,0.813,61oEC3ZjyitXj5KUzqCsYr,1.97e-06,0,0.317,-10.162,0,0.0338,0,136.852,4,https://api.spotify.com/v1/tracks/61oEC3ZjyitXj5KUzqCsYr,audio_features,spotify:track:61oEC3ZjyitXj5KUzqCsYr,0.96
0.0184,https://api.spotify.com/v1/audio-analysis/65vEK65KeqeH11s3Ym8BWO,0.519,330987,0.695,65vEK65KeqeH11s3Ym8BWO,0.000617,7,0.576,-7.219,0,0.0354,0,82.314,4,https://api.spotify.com/v1/tracks/65vEK65KeqeH11s3Ym8BWO,audio_features,spotify:track:65vEK65KeqeH11s3Ym8BWO,0.713
0.282,https://api.spotify.com/v1/audio-analysis/1cy5US2dffz6QGBAIzOGkq,0.598,263933,0.282,1cy5US2dffz6QGBAIzOGkq,0.0,11,0.105,-17.227,1,0.0256,0,134.706,4,https://api.spotify.com/v1/tracks/1cy5US2dffz6QGBAIzOGkq,audio_features,spotify:track:1cy5US2dffz6QGBAIzOGkq,0.305
0.448,https://api.spotify.com/v1/audio-analysis/7MRyJPksH3G2cXHN8UKYzP,0.55,214733,0.824,7MRyJPksH3G2cXHN8UKYzP,0.000127,2,0.366,-5.988,1,0.0334,0,114.512,4,https://api.spotify.com/v1/tracks/7MRyJPksH3G2cXHN8UKYzP,audio_features,spotify:track:7MRyJPksH3G2cXHN8UKYzP,0.777
0.394,https://api.spotify.com/v1/audio-analysis/1bp2IO61zbQrbWNmKKxg3f,0.424,264504,0.446,1bp2IO61zbQrbWNmKKxg3f,3.78e-06,5,0.16,-9.618,1,0.0525,0,165.158,4,https://api.spotify.com/v1/tracks/1bp2IO61zbQrbWNmKKxg3f,audio_features,spotify:track:1bp2IO61zbQrbWNmKKxg3f,0.794
0.00135,https://api.spotify.com/v1/audio-analysis/6F6DxQ3XjToEHX1e2KKSbg,0.459,357933,0.711,6F6DxQ3XjToEHX1e2KKSbg,0.00471,6,0.101,-9.24,1,0.036,0,120.408,4,https://api.spotify.com/v1/tracks/6F6DxQ3XjToEHX1e2KKSbg,audio_features,spotify:track:6F6DxQ3XjToEHX1e2KKSbg,0.446
0.0384,https://api.spotify.com/v1/audio-analysis/1VZ04sZSpTet7wVMyZphA8,0.591,214960,0.726,1VZ04sZSpTet7wVMyZphA8,2.49e-06,2,0.119,-13.545,1,0.0315,0,129.057,4,https://api.spotify.com/v1/tracks/1VZ04sZSpTet7wVMyZphA8,audio_features,spotify:track:1VZ04sZSpTet7wVMyZphA8,0.968
0.699,https://api.spotify.com/v1/audio-analysis/1fDsrQ23eTAVFElUMaf38X,0.531,516893,0.481,1fDsrQ23eTAVFElUMaf38X,0.0,4,0.0842,-11.709,0,0.06,0,138.45,4,https://api.spotify.com/v1/tracks/1fDsrQ23eTAVFElUMaf38X,audio_features,spotify:track:1fDsrQ23eTAVFElUMaf38X,0.491
0.396,https://api.spotify.com/v1/audio-analysis/3qT4bUD1MaWpGrTwcvguhb,0.437,295387,0.864,3qT4bUD1MaWpGrTwcvguhb,0.0314,4,0.242,-7.842,0,0.0904,0,81.394,4,https://api.spotify.com/v1/tracks/3qT4bUD1MaWpGrTwcvguhb,audio_features,spotify:track:3qT4bUD1MaWpGrTwcvguhb,0.749
0.0181,https://api.spotify.com/v1/audio-analysis/7cv28LXcjAC3GsXbUvXKbX,0.775,198066,0.731,7cv28LXcjAC3GsXbUvXKbX,0.00952,0,0.253,-8.715,1,0.0536,0,116.66,4,https://api.spotify.com/v1/tracks/7cv28LXcjAC3GsXbUvXKbX,audio_features,spotify:track:7cv28LXcjAC3GsXbUvXKbX,0.558
