acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.061,https://api.spotify.com/v1/audio-analysis/4Km5HrUvYTaSUfiSGPJeQR,0.927,343150,0.665,4Km5HrUvYTaSUfiSGPJeQR,0.0,11,0.123,-5.313,1,0.244,1,127.076,4,https://api.spotify.com/v1/tracks/4Km5HrUvYTaSUfiSGPJeQR,audio_features,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,0.175
0.129,https://api.spotify.com/v1/audio-analysis/5ATqAu28NsgWO1jShFnCxq,0.722,312529,0.635,5ATqAu28NsgWO1jShFnCxq,0.00647,5,0.312,-12.599,0,0.323,1,139.972,4,https://api.spotify.com/v1/tracks/5ATqAu28NsgWO1jShFnCxq,audio_features,spotify:track:5ATqAu28NsgWO1jShFnCxq,0.703
0.122,https://api.spotify.com/v1/audio-analysis/52yOf7Ls1u5AO3cFIzQ58m,0.7,234308,0.714,52yOf7Ls1u5AO3cFIzQ58m,0.0,9,0.0428,-6.295,0,0.104,1,99.909,4,https://api.spotify.com/v1/tracks/52yOf7Ls1u5AO3cFIzQ58m,audio_features,spotify:track:52yOf7Ls1u5AO3cFIzQ58m,0.458
0.0232,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,0.461,261154,0.834,6PCUP3dWmTjcTtXY02oFdT,1.14e-05,2,0.14,-4.868,1,0.0989,1,135.007,4,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,audio_features,spotify:track:6PCUP3dWmTjcTtXY02oFdT,0.471
0.0236,https://api.spotify.com/v1/audio-analysis/6iejlH2IrAmsvjfgjlaq9Z,0.52,256892,0.649,6iejlH2IrAmsvjfgjlaq9Z,0.000329,1,0.0828,-7.117,1,0.056,1,163.924,4,https://api.spotify.com/v1/tracks/6iejlH2IrAmsvjfgjlaq9Z,audio_features,spotify:track:6iejlH2IrAmsvjfgjlaq9Z,0.355
0.00618,https://api.spotify.com/v1/audio-analysis/29MOQfRQS4b7ptGsbbSRVi,0.751,203360,0.696,29MOQfRQS4b7ptGsbbSRVi,0.00258,4,0.107,-6.027,1,0.0657,1,121.0,4,https://api.spotify.com/v1/tracks/29MOQfRQS4b7ptGsbbSRVi,audio_features,spotify:track:29MOQfRQS4b7ptGsbbSRVi,0.446
0.119,https://api.spotify.com/v1/audio-analysis/12GEpg2XOPyqk03JZEZnJs,0.64,220781,0.533,12GEpg2XOPyqk03JZEZnJs,0.0,0,0.0864,-6.596,1,0.0706,1,99.968,4,https://api.spotify.com/v1/tracks/12GEpg2XOPyqk03JZEZnJs,audio_features,spotify:track:12GEpg2XOPyqk03JZEZnJs,0.515
0.00365,https://api.spotify.com/v1/audio-analysis/2dyyOwe0KxTZTJjjXDeLmU,0.693,194773,0.727,2dyyOwe0KxTZTJjjXDeLmU,0.0,10,0.0576,-5.364,0,0.0749,1,121.937,4,https://api.spotify.com/v1/tracks/2dyyOwe0KxTZTJjjXDeLmU,audio_features,spotify:track:2dyyOwe0KxTZTJjjXDeLmU,0.746
0.0356,https://api.spotify.com/v1/audio-analysis/60EFFQmSfrNMPUMGnfxBbO,0.313,198173,0.68,60EFFQmSfrNMPUMGnfxBbO,0.0,11,0.188,-5.538,1,0.0384,1,106.76,5,https://api.spotify.com/v1/tracks/60EFFQmSfrNMPUMGnfxBbO,audio_features,spotify:track:60EFFQmSfrNMPUMGnfxBbO,0.245
0.255,https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy,0.49,258827,0.743,3RiPr603aXAoi4GHyXx0uy,7.21e-06,0,0.3,-5.155,0,0.0409,1,89.974,4,https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy,audio_features,spotify:track:3RiPr603aXAoi4GHyXx0uy,0.363
0.0384,https://api.spotify.com/v1/audio-analysis/6VKjdUk3JEbeBXv1IusK5M,0.5,252893,0.87,6VKjdUk3JEbeBXv1IusK5M,0.0,7,0.13,-3.282,1,0.0368,1,90.001,4,https://api.spotify.com/v1/tracks/6VKjdUk3JEbeBXv1IusK5M,audio_features,spotify:track:6VKjdUk3JEbeBXv1IusK5M,0.687
0.337,https://api.spotify.com/v1/audio-analysis/3PiLfzEXHrvT1oJKR8PAJt,0.559,254693,0.535,3PiLfzEXHrvT1oJKR8PAJt,0.0,3,0.105,-8.136,0,0.274,1,96.989,4,https://api.spotify.com/v1/tracks/3PiLfzEXHrvT1oJKR8PAJt,audio_features,spotify:track:3PiLfzEXHrvT1oJKR8PAJt,0.62
0.328,https://api.spotify.com/v1/audio-analysis/5maiP9UMnTSgoxPX8X3bdz,0.67,231907,0.476,5maiP9UMnTSgoxPX8X3bdz,0.0,9,0.104,-6.253,0,0.0406,1,96.975,4,https://api.spotify.com/v1/tracks/5maiP9UMnTSgoxPX8X3bdz,audio_features,spotify:track:5maiP9UMnTSgoxPX8X3bdz,0.235
0.335,https://api.spotify.com/v1/audio-analysis/15DrrIod12Tc2IoMaHiwlQ,0.553,192707,0.657,15DrrIod12Tc2IoMaHiwlQ,0.000648,1,0.228,-8.219,1,0.0405,1,107.889,4,https://api.spotify.com/v1/tracks/15DrrIod12Tc2IoMaHiwlQ,audio_features,spotify:track:15DrrIod12Tc2IoMaHiwlQ,0.555
0.0729,https://api.spotify.com/v1/audio-analysis/6t2ubAB4iSYOuIpRAOGd4t,0.786,157165,0.854,6t2ubAB4iSYOuIpRAOGd4t,1.63e-06,2,0.179,-4.247,1,0.0523,1,105.078,4,https://api.spotify.com/v1/tracks/6t2ubAB4iSYOuIpRAOGd4t,audio_features,spotify:track:6t2ubAB4iSYOuIpRAOGd4t,0.687
0.0735,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,0.624,170827,0.876,0afhq8XCExXpqazXczTSve,0.0,9,0.327,-3.374,1,0.1,1,99.943,4,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve,audio_features,spotify:track:0afhq8XCExXpqazXczTSve,0.781
